ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CH0030170408,,646990.0,631856.0,645142.0,589863.0,808666.0,959248.0,1386996.0,1275269.0,1483421.0,1944026.0,1871433.0,1827707.0,2026220.0,2041987.0,2125995.0,2215374.0,2259753.0,2541709.0,2839474.0,3120508.0,3098962.0,3191671.0,3322399.0,3764508.0,3728679.0,3562676.0,3384233.0
CH0038388911,,4169463.0,3330671.0,3483512.0,2154003.0,1423229.0,1448071.0,1733955.0,1942371.0,2248121.0,3268225.0,3189338.0,3171180.0,3395199.0,3911986.0,4454002.0,3615560.0,3474487.0,2911447.0,2907908.0,3271475.0,3385066.0,3860050.0,3692791.0,3432496.0,3495630.0,3791185.0,3872427.0
CH0038863350,,50909876.0,45056699.0,49448135.0,49294725.0,65208151.0,69769913.0,72788342.0,70811545.0,79003992.0,99379168.0,94394439.0,95198823.0,111562630.0,91452061.0,102097825.0,102087306.0,99095524.0,87005312.0,90439622.0,96342725.0,91987009.0,95833999.0,93841830.0,94738754.0,103799283.0,107435968.0,100198747.0
CH0044328745,,1406942.0,3016990.0,5266657.0,6644687.0,7123004.0,10831742.0,12371625.0,13176000.0,13542000.0,14295000.0,14732000.0,15472000.0,16065000.0,16884000.0,17973000.0,19283000.0,19239000.0,19099000.0,31572000.0,32288000.0,32766000.0,34244000.0,35994000.0,40963000.0,43166000.0,49871000.0,56018000.0
CH0048265513,,1049612.0,648236.0,1229513.0,2820100.0,2673900.0,2434300.0,2613900.0,2891700.0,3882000.0,6377000.0,12674000.0,11556000.0,9576000.0,9142000.0,9196000.0,9484000.0,9174000.0,7386000.0,4161000.0,2973000.0,3018000.0,3088000.0,3152000.0,2556000.0,2575000.0,2832000.0,3524000.0
CH0102484968,,,,,,,,,,1565800.0,2270696.0,2022600.0,1782933.0,2213069.0,2244828.0,2257337.0,2733757.0,3104471.0,2980533.0,3221979.0,3969546.0,4130206.0,4254388.0,4517132.0,4642839.0,4971755.0,6753131.0,6889665.0
CH0114405324,,,232586.0,345741.0,369119.0,465144.0,572989.0,762549.0,1027773.0,1774000.0,3180319.0,3494077.0,2946440.0,2689911.0,2758569.0,2715675.0,2631851.0,2870658.0,2820270.0,3018665.0,3087004.0,3347444.0,3757505.0,4186573.0,4982795.0,4860286.0,5228252.0,6296903.0
CH0126881561,,16359251.0,16627407.0,19436247.0,19937772.0,27807810.0,29456276.0,30292614.0,27215892.0,31619892.0,40790440.0,28482887.0,30116936.0,29903819.0,27656090.0,34985371.0,37426885.0,36891467.0,33661932.0,43629064.0,44512705.0,36678747.0,50179267.0,44448606.0,45778629.0,48478826.0,51223916.0,44059516.0
CH0198251305,,,,,,,,,,,,,,9366318.0,9377250.0,8988239.0,9530385.0,7852912.0,6597216.0,6398118.0,8059473.0,7718837.0,7989583.0,7417929.0,8348014.0,9657803.0,11185127.0,11270128.0
CH0210483332,,7969048.0,6620002.0,2844917.0,3301772.0,4089562.0,3978554.0,4724533.0,4736504.0,5762174.0,7642086.0,7747565.0,7100077.0,9185447.0,10707362.0,13040246.0,14048602.0,14178638.0,11529010.0,11426901.0,13129023.0,14231428.0,16897281.0,14730603.0,19587823.0,22367094.0,23226082.0,21434884.0
CH0244767585,,28110523.0,25131210.0,49811912.0,49603770.0,49426843.0,51155933.0,59385636.0,80114429.0,106016428.0,130020278.0,58212824.0,42422486.0,49418450.0,44598761.0,22396266.0,40896734.0,39392883.0,37467603.0,37819893.0,41388606.0,42016143.0,42699984.0,39564338.0,40057420.0,43698825.0,74148305.0,84078606.0
CH0319416936,,132209.0,127760.0,317526.0,313494.0,386761.0,445364.0,534626.0,545989.0,591466.0,741888.0,734402.0,776326.0,920331.0,989942.0,1050837.0,1080153.0,1042183.0,969149.0,1023792.0,1112800.0,1159807.0,1252778.0,694247.0,739739.0,1125122.0,1428236.0,1454710.0
CH0418792922,,1115150.0,1019220.0,1213399.0,1223958.0,1551729.0,1798749.0,2147352.0,2267602.0,3126282.0,4225684.0,3971750.0,3932646.0,4709363.0,4981853.0,5348103.0,5696232.0,6026404.0,5379169.0,5810055.0,6704216.0,7127864.0,8395310.0,8764675.0,10065122.0,11533522.0,12983396.0,12901984.0
CH1169151003,,2155689.0,1954710.0,2370318.0,2239558.0,2499061.0,2582896.0,2969617.0,2870560.0,3248168.0,4155275.0,3834763.0,2750552.0,3675990.0,3977698.0,3989286.0,4171757.0,4105003.0,3567037.0,3784618.0,4452811.0,4599401.0,3851250.0,3542587.0,4048981.0,4394958.0,4651038.0,4268817.0
CH1175448666,,78368.0,90251.0,115430.0,134792.0,201048.0,272696.0,352576.0,396182.0,480809.0,659424.0,668793.0,696972.0,786651.0,758344.0,760039.0,753178.0,768290.0,782592.0,927471.0,1193248.0,1371732.0,1652543.0,1586432.0,2199529.0,2551214.0,2786255.0,2746324.0
CH1216478797,,,,,,,,,,,,,,,,,,,,,,,,,12927909.0,9179252.0,11479863.0,13201358.0
CH1256740924,,2238105.0,1377300.0,1438626.0,1357233.0,1749359.0,1946094.0,2420154.0,2571997.0,3066021.0,4039774.0,4137937.0,4459945.0,5073016.0,5244919.0,6177746.0,6458137.0,6363566.0,5597503.0,6049929.0,6812264.0,6746190.0,6832862.0,6235131.0,6967685.0,7301479.0,7650068.0,7451784.0
DE0005089031,,100394.0,118001.0,181386.0,198682.0,343498.0,516346.0,664303.0,968829.0,1644623.0,2204808.0,2112321.0,2314484.0,2633531.0,2758325.0,3282469.0,3589980.0,3476633.0,4050270.0,4267605.0,5231625.0,5884085.0,5743402.0,6456003.0,6378300.0,6471497.0,6711854.0,6528154.0
